Date,close_ada-usd,high_ada-usd,low_ada-usd,open_ada-usd,volume_ada-usd,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-03,0.40433600544929504,0.4064370095729828,0.39678001403808594,0.397504985332489,379100047,0.40433600544929504,0.397504985332489,0.4064370095729828,0.39678001403808594,379100047,0.38836910128593444,0.3876847950151373,69.71701925236553,0.024408752326475658,0.02503579193504252,0.37204004973173144,0.41391555243963385,0.330164547023829,86.68186321718827,87.30203607091072,124.9690853538597,62.70056456133271,-13.318136782811731,0
2023-02-04,0.399726003408432,0.4052329957485199,0.39833399653434753,0.40423300862312317,264897945,0.399726003408432,0.40423300862312317,0.4052329957485199,0.39833399653434753,264897945,0.3910007029771805,0.3898741056321,67.06915969980939,0.023830342984795472,0.024794702144993113,0.3745079502463341,0.4167993488262996,0.3322165516663686,79.53689782513806,82.19181217200999,110.08281953850202,61.80169510015785,-20.463102174861948,0
2023-02-05,0.3924719989299774,0.40168601274490356,0.38433700799942017,0.39972901344299316,340587829,0.3924719989299774,0.39972901344299316,0.40168601274490356,0.38433700799942017,340587829,0.3922420024871826,0.3903464498680777,63.01359111181633,0.02252693538850503,0.024341148793695498,0.37662955075502397,0.418046489561514,0.3352126119485339,68.29403708604988,78.17093270945874,71.1011122529347,59.52271575048382,-31.70596291395011,0
2023-02-06,0.38242098689079285,0.40241900086402893,0.3816019892692566,0.39247700572013855,343275735,0.38242098689079285,0.39247700572013855,0.40241900086402893,0.3816019892692566,343275735,0.39158620238304137,0.38890545659948045,57.798497686984796,0.020447239754228408,0.023562366985802084,0.37846255004405976,0.4174248131917844,0.3395002868963351,52.71614090758973,66.84902527292589,48.95113911674428,57.1507791789605,-47.28385909241027,1
2023-02-07,0.39921000599861145,0.39926600456237793,0.38238298892974854,0.3824630081653595,371684529,0.39921000599861145,0.3824630081653595,0.39926600456237793,0.38238298892974854,371684529,0.3932721018791199,0.390779011035686,63.26717618105793,0.019924126582080093,0.02283471890505769,0.3820813000202179,0.41399818080083634,0.35016441923959946,78.73716203264256,66.58244667542739,66.62791626001967,54.94826664826028,-21.26283796735744,0
2023-02-08,0.3940330147743225,0.4022339880466461,0.38711801171302795,0.3992129862308502,356894107,0.3940330147743225,0.3992129862308502,0.4022339880466461,0.38711801171302795,356894107,0.39304410219192504,0.3913706480790744,60.65698632168117,0.01887424514917635,0.022042624153881422,0.38482800126075745,0.4102756477039151,0.3593803548175998,57.38387407472629,62.94572567165286,66.50033588877142,53.07953439824057,-42.61612592527371,0
2023-02-09,0.36253100633621216,0.39523500204086304,0.35893601179122925,0.3940730094909668,486448326,0.36253100633621216,0.3940730094909668,0.39523500204086304,0.35893601179122925,486448326,0.3920461028814316,0.38612707685309944,47.74794876216322,0.0153236166280587,0.020698822648716877,0.3847252517938614,0.41051330945983194,0.3589371941278909,6.658262056053307,47.59309938780739,-88.57247057300961,49.580577864567054,-93.3417379439467,0
2023-02-10,0.3586350083351135,0.3654339909553528,0.355787992477417,0.3624640107154846,357711042,0.3586350083351135,0.3624640107154846,0.3654339909553528,0.355787992477417,357711042,0.38881700336933134,0.38112851894073835,46.43183317982492,0.012056365192587681,0.01897033115749104,0.3842057019472122,0.4116062691395681,0.3568051347548563,4.982439157705439,23.008191762828346,-162.65246046062,46.5356712332375,-95.01756084229456,1
2023-02-11,0.36920198798179626,0.3698669970035553,0.35778000950813293,0.35865598917007446,224047056,0.36920198798179626,0.35865598917007446,0.3698669970035553,0.35778000950813293,224047056,0.3860129028558731,0.3789600587663852,50.423310483922485,0.010202108282565514,0.017216686582505934,0.3838361009955406,0.41183037486739854,0.3558418271236827,23.475252616393387,11.705317943384046,-115.567676533625,43.377972441468216,-76.52474738360661,0
2023-02-12,0.36429598927497864,0.37365299463272095,0.36106300354003906,0.36916598677635193,241295741,0.36429598927497864,0.36916598677635193,0.37365299463272095,0.36106300354003906,241295741,0.3826862007379532,0.37629386431340217,48.61224642348629,0.00824171783476707,0.015421692832958163,0.3832757011055946,0.41234289130684637,0.35420851090434285,14.889476742184721,14.449056172094515,-102.55788725941153,40.39279704613729,-85.11052325781527,0
