Date,close_bnb-usd,high_bnb-usd,low_bnb-usd,open_bnb-usd,volume_bnb-usd,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-03,332.2686767578125,334.545166015625,318.9032287597656,323.2913513183594,861598551,332.2686767578125,323.2913513183594,334.545166015625,318.9032287597656,861598551,313.63988342285154,315.255057239616,72.87054129788677,12.70599896503876,11.920090907622091,306.6266860961914,326.45174256104053,286.8016296313423,94.28455843930963,85.88572658951632,223.44634308980082,66.19966737598787,-5.715441560690365,0
2023-02-04,330.6170959472656,333.8709411621094,327.7414245605469,332.24969482421875,440935963,330.6170959472656,332.24969482421875,333.8709411621094,327.7414245605469,440935963,315.9708282470703,318.0481551864614,71.21698919173939,13.149870088123293,12.166046743722333,308.0540084838867,330.32148080857786,285.7865361591956,90.1380360812341,87.49829699601145,196.7605180756655,66.45639667926916,-9.86196391876589,0
2023-02-05,327.8693542480469,337.3205261230469,324.8794860839844,330.5582580566406,662969265,327.8693542480469,330.5582580566406,337.3205261230469,324.8794860839844,662969265,318.27110900878904,319.83382774311326,68.43469539502263,13.12858322464075,12.358554039906018,309.49751434326174,332.9418589813945,286.053169705129,77.8172048171024,87.41326644588203,157.05139050530357,66.81560673751406,-22.18279518289761,0
2023-02-06,324.6271667480469,330.9574279785156,321.9461364746094,327.8618469238281,521894604,324.6271667480469,327.8618469238281,330.9574279785156,321.9461364746094,521894604,319.9215148925781,320.70534392582846,65.19800903319765,12.703655958668492,12.427574423658513,310.737646484375,334.62390848277994,286.85138448597,70.20748379961736,79.38757489931795,108.31850503042953,66.55167129813782,-29.792516200382636,1
2023-02-07,333.2278747558594,333.5267333984375,324.2054748535156,324.5574035644531,521804212,333.2278747558594,324.5574035644531,333.5267333984375,324.2054748535156,521804212,322.6198699951172,322.98216771310683,69.34057174028334,12.912061093260263,12.524471757578864,313.0494873046875,336.23476419056595,289.864210418809,90.39415976832754,79.47294946168243,121.35765534293064,66.42246264462686,-9.605840231672456,0
2023-02-08,328.0886535644531,334.7283935546875,324.49053955078125,333.2173156738281,515127902,328.0886535644531,333.2173156738281,334.7283935546875,324.49053955078125,515127902,323.6951141357422,323.91061968607886,64.40716445756252,12.518229111152891,12.52322322829367,314.7113098144531,337.19502667556367,292.22759295334254,75.04895192566235,78.55019849786909,99.74886898738254,66.357069542147,-24.951048074337645,0
2023-02-09,305.9604187011719,329.0126037597656,303.3585510253906,328.1722106933594,778492045,305.9604187011719,328.1722106933594,329.0126037597656,303.3585510253906,778492045,323.5842681884766,320.6469467797321,48.42976593252796,10.301798092075956,12.078938201050128,314.7606719970703,337.16284025603363,292.35850373810695,15.242813098496057,60.22864159749531,-18.05700047243366,62.85582787178437,-84.75718690150394,0
2023-02-10,305.9541320800781,309.0569152832031,303.0165710449219,306.00726318359375,492880078,305.9541320800781,306.00726318359375,309.0569152832031,303.0165710449219,492880078,322.9435760498047,317.97552592524954,48.42609051658986,8.447377157588505,11.352625992357805,315.0953201293945,336.7488024897887,293.4418377690003,8.563330462817328,32.95169849565858,-69.09009839293428,59.562378774551725,-91.43666953718267,1
2023-02-11,310.61602783203125,311.1468811035156,305.4541015625,305.97991943359375,348569462,310.61602783203125,305.97991943359375,311.1468811035156,305.4541015625,348569462,322.25791931152344,316.6374353628462,51.37322239835296,7.270105976506727,10.53612198918759,315.47379913330076,336.52796878444576,294.41962948215576,22.153296230134725,15.319813263816037,-49.33608722044296,56.69533119847682,-77.84670376986527,1
2023-02-12,312.9296569824219,320.23486328125,306.5174865722656,310.6056213378906,520994815,312.9296569824219,310.6056213378906,320.23486328125,306.5174865722656,520994815,321.2159057617188,315.96329383913263,52.81432712498118,6.449455314134752,9.718788654177022,315.84507751464844,336.43978990398045,295.2503651253164,28.89779302393441,19.871473238962153,-22.070687285321245,54.78609933422932,-71.10220697606559,0
2023-02-13,294.475341796875,315.123046875,283.6963806152344,312.9018249511719,1322505522,294.475341796875,312.9018249511719,315.123046875,283.6963806152344,1322505522,317.436572265625,312.05639346781305,42.09751962895864,4.260858224094363,8.62720256816049,315.5382278442383,337.187509236329,293.8889464521476,20.100947212427354,23.717345488832166,-132.1281910933815,51.15856514494611,-79.89905278757264,1
2023-02-14,296.120361328125,301.1332702636719,290.1734924316406,294.47039794921875,662196432,296.120361328125,294.47039794921875,301.1332702636719,290.1734924316406,662196432,313.9868988037109,309.15893307877883,43.203863866917025,2.6288152446571758,7.4275251034598275,314.97886352539064,337.98542887424736,291.9722981765339,23.168631584219046,24.05579060686027,-138.20735764930234,47.790140540611695,-76.83136841578096,1
2023-02-15,317.1692199707031,317.3873291015625,294.3832702636719,296.1449279785156,667519216,317.1692199707031,296.1449279785156,317.3873291015625,294.3832702636719,667519216,312.91688537597656,310.6153488773105,55.04111407334757,2.9993023149372675,6.5418805457553155,315.5939971923828,338.1394231833586,293.048571201407,62.421207906412405,35.230262234352935,-41.35387918561178,45.409767985752,-37.578792093587595,0
2023-02-16,304.7637023925781,326.6348876953125,304.50274658203125,317.150390625,1036335164,304.7637023925781,317.150390625,326.6348876953125,304.50274658203125,1036335164,310.9305389404297,309.55141315281367,48.61075241160966,2.2657759413753524,5.686659624879324,315.42602691650393,338.24004885076465,292.6120049822432,39.28700695897234,41.625615483201265,-27.2286927444476,43.798860110963105,-60.71299304102766,1
2023-02-17,313.37799072265625,316.4135437011719,303.5519104003906,304.74273681640625,701575686,313.37799072265625,304.74273681640625,316.4135437011719,303.5519104003906,701575686,308.9455505371094,310.2471545291487,52.73965179579641,2.3524346785468424,5.019814635612828,315.78271026611327,338.2315155915721,293.33390494065446,55.35120387717425,52.353139580853,-35.250035916162695,42.208704264030224,-44.64879612282575,1
2023-02-18,316.6827087402344,318.6784973144531,313.300537109375,313.3858642578125,467884011,316.6827087402344,313.3858642578125,318.6784973144531,313.300537109375,467884011,307.8049560546875,311.4172552948006,54.25801860367829,2.6571455574646166,4.547280819983186,315.75003509521486,338.1916017895906,293.3084684008391,61.51394639975051,52.05071907863237,2.449465449683923,40.88250201171713,-38.48605360024949,0
2023-02-19,311.93585205078125,318.42645263671875,311.3098449707031,316.6196594238281,522437732,311.93585205078125,316.6196594238281,318.42645263671875,311.3098449707031,522437732,308.4024993896484,311.5115456140698,51.689185617173074,2.4869316605069116,4.135210988087931,315.9933837890625,338.1569607276224,293.82980685050256,55.33677746369042,57.400642580205066,-16.79718649722005,39.43230210424912,-44.66322253630958,1
2023-02-20,315.37744140625,319.30078125,309.4282531738281,312.0279235839844,676396150,315.37744140625,312.0279235839844,319.30078125,309.4282531738281,676396150,309.34483032226564,312.2144357581025,53.411407649377274,2.5997748332924857,3.8281237571288425,316.14420318603516,338.247828884984,294.0405774870863,62.08075865751873,59.643827506986554,-12.352095562182772,37.87389907265771,-37.91924134248127,0
2023-02-21,311.4720153808594,316.9972839355469,309.95526123046875,315.39935302734375,579359973,311.4720153808594,315.39935302734375,316.9972839355469,309.95526123046875,579359973,309.43042907714846,312.0794502349674,51.18167237536868,2.3470137064318237,3.531901746989439,315.84417419433595,338.03027664962804,293.65807173904386,54.42786432622082,57.28180014914332,-26.439917490067195,36.42681054332282,-45.57213567377918,1
2023-02-22,312.7811279296875,312.80938720703125,304.2212219238281,311.4826354980469,549179249,312.7811279296875,311.4826354980469,312.80938720703125,304.2212219238281,549179249,309.415576171875,312.20702799764376,51.90644110867313,2.2266655202631114,3.2708545016441737,315.31574096679685,337.263765132204,293.3677168013897,64.18175500127279,60.23012599500411,-44.780164534150714,34.41134426348357,-35.81824499872721,0
2023-02-23,308.533935546875,314.8948974609375,306.1802062988281,312.8053283691406,472852406,308.533935546875,312.8053283691406,314.8948974609375,306.1802062988281,472852406,310.821435546875,311.53919300659487,49.34676581252741,1.7681931556015797,2.970322232435655,314.12900390625,334.81234396354415,293.4456638489558,57.84447718529164,58.818032170928426,-41.44855311233073,32.738942946783695,-42.15552281470836,0
