Date,close_gc=f,high_gc=f,low_gc=f,open_gc=f,volume_gc=f,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,1833.0,1843.0,1833.0,1842.5999755859375,862,1833.0,1842.5999755859375,1843.0,1833.0,862,1853.3599975585937,1853.556859188846,32.638988056126905,-13.320301734452869,-7.081931988534963,1884.6,1960.3926173497873,1808.8073826502125,10.376674237862806,12.411147159256487,-93.65876879032648,29.373675396143508,-89.6233257621372,0
2023-02-22,1832.0,1836.199951171875,1825.0999755859375,1835.699951171875,278,1832.0,1835.699951171875,1836.199951171875,1825.0999755859375,278,1849.3900024414063,1849.6374302454192,32.34541528789954,-14.381731064136147,-8.5418918036552,1879.5049987792968,1955.0558969442425,1803.954100614351,9.665941937196667,11.89290892990484,-97.0695354498807,29.791812717723108,-90.33405806280334,0
2023-02-23,1818.0,1827.5,1818.0,1826.4000244140625,291,1818.0,1826.4000244140625,1827.5,1818.0,291,1843.45,1843.8851702007973,28.48285461153766,-16.166249985521517,-10.066763440028465,1873.3450012207031,1947.8532254557917,1798.8367769856145,0.0,6.680872058353159,-110.16709189256592,30.443332172429287,-100.0,0
2023-02-24,1808.800048828125,1808.800048828125,1808.800048828125,1808.800048828125,404,1808.800048828125,1808.800048828125,1808.800048828125,1808.800048828125,404,1837.710009765625,1837.506057223948,26.26335554657861,-18.114045815297686,-11.67621991508231,1867.3300048828125,1942.2849346570797,1792.3750751085454,0.0,3.2219806457322235,-126.11146736997068,31.36927840302028,-100.0,1
2023-02-27,1817.0,1817.5,1808.9000244140625,1811.5999755859375,829,1817.0,1811.5999755859375,1817.5,1808.9000244140625,829,1833.1300048828125,1833.7776831832298,31.394792120683334,-18.779541647533733,-13.096884261572596,1861.7500061035157,1934.203549621179,1789.2964625858524,10.817887988301852,3.605962662767285,-105.00318879045315,31.515214075035498,-89.18211201169815,1
2023-02-28,1828.9000244140625,1830.0,1808.0999755859375,1808.0999755859375,618,1828.9000244140625,1808.0999755859375,1830.0,1808.0999755859375,618,1830.8300048828125,1832.8908361342903,38.12449123688752,-18.137639948618926,-14.105035398981862,1857.0500061035157,1925.087608058533,1789.0124041484983,27.18960631127451,12.669164766525455,-82.13214510274163,30.72314829833137,-72.81039368872548,1
2023-03-01,1837.699951171875,1841.699951171875,1827.0999755859375,1827.0999755859375,211,1837.699951171875,1827.0999755859375,1841.699951171875,1827.0999755859375,211,1829.2,1833.7652206865782,42.6078830611481,-16.726040301283547,-14.6292363794422,1852.4600036621093,1912.2088730421428,1792.7111342820758,38.69277854370915,25.566757614428507,-46.54991492493592,29.219084454391723,-61.30722145629085,0
2023-03-02,1833.5,1836.300048828125,1830.0,1830.0,154,1833.5,1830.0,1836.300048828125,1830.0,154,1829.1300048828125,1833.716998743564,41.0780379205521,-15.764514855671223,-14.856292074688005,1847.7450012207032,1896.914852417879,1798.5751500235274,45.84839931517263,37.243594723385435,-45.43068967253869,27.82245374216205,-54.15160068482737,1
2023-03-03,1847.699951171875,1855.4000244140625,1837.300048828125,1837.300048828125,61,1847.699951171875,1837.300048828125,1855.4000244140625,1837.300048828125,61,1829.7,1836.2593537305297,47.89046691934461,-13.698770725248096,-14.624787804800025,1844.3149963378905,1882.1390102467572,1806.490982429024,73.4693091819934,52.67016234695839,7.92019202008763,26.27807996168718,-26.530690818006608,1
2023-03-06,1847.9000244140625,1853.800048828125,1844.199951171875,1853.300048828125,5,1847.9000244140625,1853.300048828125,1853.800048828125,1844.199951171875,5,1830.45,1838.3758393093535,47.981724212735834,-11.90823861827198,-14.081477967494417,1843.5649963378905,1880.4688695725674,1806.6611231032136,73.84050241309572,64.38607030342058,22.648385864009366,24.84401859410337,-26.159497586904283,0
2023-03-07,1813.9000244140625,1840.9000244140625,1813.9000244140625,1840.9000244140625,450,1813.9000244140625,1840.9000244140625,1840.9000244140625,1813.9000244140625,450,1828.5400024414062,1833.9256911465732,36.33608918243971,-13.081944362170589,-13.881571246429653,1840.95,1878.4743509219463,1803.4256490780538,12.26224702050676,53.190686205198624,-75.86013899080663,24.221319340103104,-87.73775297949324,0
2023-03-08,1812.699951171875,1812.9000244140625,1811.5,1811.5999755859375,75,1812.699951171875,1811.5999755859375,1812.9000244140625,1811.5,75,1826.6099975585937,1830.066465696628,36.00392659749903,-13.948164740816537,-13.89488994530703,1838.0,1874.65744214286,1801.34255785714,9.725096907727327,31.942615447109933,-115.70927401966314,23.74864588422156,-90.27490309227268,1
2023-03-09,1829.300048828125,1829.300048828125,1815.5999755859375,1816.4000244140625,332,1829.300048828125,1816.4000244140625,1829.300048828125,1815.5999755859375,332,1827.7400024414062,1829.927117175082,43.67414756806658,-13.143649671840649,-13.744641890613755,1835.5950012207031,1867.6152671979917,1803.5747352434146,44.82040456072798,22.269249496320686,-54.64958745497482,22.345654233094365,-55.17959543927202,1
2023-03-10,1862.0,1868.5,1852.0,1852.300048828125,248,1862.0,1852.300048828125,1868.5,1852.0,248,1833.0599975585938,1835.758550415976,55.09231401520361,-9.755003302984733,-12.946714173087951,1835.3850036621093,1866.6457336145916,1804.124273709627,89.23841494592732,47.92797213812754,143.20118559130813,22.15203421878999,-10.76158505407268,1
2023-03-13,1911.699951171875,1913.0999755859375,1875.0999755859375,1890.800048828125,503,1911.699951171875,1890.800048828125,1913.0999755859375,1875.0999755859375,503,1842.5299926757812,1849.5660778261395,66.28056938240292,-3.024244335863159,-10.962220205642993,1837.8299987792968,1882.189874061611,1793.4701234969828,98.66664341517857,77.57515430727796,290.0576207386412,23.225936893417433,-1.3333565848214286,0
2023-03-14,1906.199951171875,1912.199951171875,1901.0999755859375,1912.199951171875,107,1906.199951171875,1912.199951171875,1912.199951171875,1901.0999755859375,107,1850.2599853515626,1859.8631457071822,64.36934279189137,1.8448602034584383,-8.400804123822708,1840.5449951171875,1893.7766649046694,1787.3133253297055,93.42854817708333,93.77786884606307,247.48360462661162,24.223132234142916,-6.571451822916667,1
