Date,close_aapl,high_aapl,low_aapl,open_aapl,volume_aapl,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,146.99755859375,149.7894107206676,146.92826533516197,148.70038717333577,58867200,146.99755859375,148.70038717333577,149.7894107206676,146.92826533516197,58867200,150.9648178100586,149.89021422004598,54.936989455741866,4.511851124218509,5.37632562591184,147.84356918334962,156.79201455404032,138.8951238126589,45.994354887312795,65.326454805735,5.96715361582797,67.41034254261673,-54.005645112687205,1
2023-02-22,147.4232635498047,148.45287338487984,145.6907358158214,147.383654456277,51011300,147.4232635498047,147.383654456277,148.45287338487984,145.6907358158214,51011300,150.41988983154297,149.44167773454757,55.71399036842499,4.017634591518885,5.104587419033249,148.17013854980468,156.53782692256,139.80245017704937,17.534894167645454,44.96825882094095,-12.780445521541345,64.90165124229907,-82.46510583235454,1
2023-02-23,147.9083709716797,148.83898834448985,145.7699480861059,148.591484366889,48394200,147.9083709716797,148.591484366889,148.83898834448985,145.7699480861059,48394200,150.1933349609375,149.1628946867534,56.631663438984575,3.623340924721248,4.808338120170849,148.5540786743164,156.09276174747916,141.01539560115364,22.444661056606268,28.657970037188175,-16.64262148633047,62.655739215631726,-77.55533894339374,0
2023-02-24,145.2452392578125,145.720442659753,144.26511807901926,145.64123957502227,55469600,145.2452392578125,145.64123957502227,145.720442659753,144.26511807901926,55469600,149.80426025390625,148.45059369967322,50.451056652382555,3.06068619521551,4.458807735179782,148.70107040405273,155.85130218213263,141.55083862597283,9.330868101100378,16.43680777511737,-76.55312329217715,59.92553391475324,-90.66913189889962,1
2023-02-27,146.44314575195312,147.68066559008122,145.97783708430148,146.23525087875586,44998500,146.44314575195312,146.23525087875586,147.68066559008122,145.97783708430148,44998500,149.49834594726562,148.0856031637241,52.93904035524255,2.6805397178394514,4.103154131711716,148.81058807373046,155.7488909809981,141.8722851664628,20.73507784181824,17.503535666508295,-45.636351770258464,57.85806961433855,-79.26492215818176,0
2023-02-28,145.93824768066406,147.59157242356576,145.36403664496177,145.58184135182967,50547000,145.93824768066406,145.58184135182967,147.59157242356576,145.36403664496177,50547000,148.86077423095702,147.6951748940768,51.75935160791427,2.311879928250079,3.7448992910193892,149.03967819213867,155.24188240591275,142.83747397836459,15.928389230621473,15.331445057846699,-65.66617014923985,55.672658685436645,-84.07161076937852,0
2023-03-01,143.85922241210938,145.76005131760687,143.56221459109048,145.3640509605452,55479000,143.85922241210938,145.3640509605452,145.76005131760687,143.56221459109048,55479000,148.07965087890625,146.99772898826456,47.10461051984499,1.8308495311856632,3.3620893390526443,149.10105743408204,155.0682255201236,143.13388934804047,2.650204776230274,13.104557282889994,-125.07014961124361,52.89466651243589,-97.34979522376973,1
2023-03-02,144.4532470703125,145.24526294031543,142.4633051197938,142.9385237056633,52238100,144.4532470703125,142.9385237056633,145.24526294031543,142.4633051197938,52238100,147.14705810546874,146.53509591227328,48.52890406461372,1.4804960642689196,2.9857706840958995,149.13579483032225,154.98507774726454,143.28651191337997,16.17065190141893,11.58308196942356,-140.19754574998504,49.88702357798079,-83.82934809858106,1
2023-03-03,149.5220947265625,149.60129780845313,145.85903905116976,146.56194185497878,70732300,149.5220947265625,146.56194185497878,149.60129780845313,145.85903905116976,70732300,146.88173217773436,147.0781866057804,58.73864310105259,1.5934833768496048,2.7073132226466408,149.1575698852539,155.00920003425236,143.30593973625545,57.36108510434554,25.393980593998247,-18.907200697866614,48.23935773966408,-42.63891489565446,1
2023-03-06,152.29417419433594,154.73951510110595,151.92787308169673,152.25456509183923,87558000,152.29417419433594,152.25456509183923,154.73951510110595,151.92787308169673,87558000,147.00845642089843,148.02654798551777,63.05473900149903,1.884981389812424,2.542846856079797,149.1360641479492,154.93805395907083,143.3340743368276,79.88753724771107,51.13975808449184,107.82860727506997,47.68087162935638,-20.112462752288934,0
2023-03-07,150.08642578125,152.49215731620518,149.62111707090608,152.16545023619062,56182000,150.08642578125,152.16545023619062,152.49215731620518,149.62111707090608,56182000,147.31734313964844,148.40107122110544,57.863392020180214,1.9157650719751587,2.4174304992588698,149.1410804748535,154.9461739821458,143.3359869675612,61.94694804378128,66.3985234652793,44.3985179432925,46.33532711006461,-38.05305195621872,1
2023-03-08,151.34375,151.93776567756532,150.31413994619248,151.2843514535327,47204800,151.34375,151.2843514535327,151.93776567756532,150.31413994619248,47204800,147.70939178466796,148.936103726359,59.8887904389978,2.0183506287610555,2.337614525159307,149.06464080810548,154.7092245952351,143.42005702097586,72.16420702630089,71.33289743926441,58.43315944634863,45.08589291357939,-27.83579297369911,0
2023-03-09,149.0865020751953,152.99706215582498,148.73009571987657,152.02685072996366,53833600,149.0865020751953,152.02685072996366,152.99706215582498,148.73009571987657,53833600,147.82720489501952,148.96344888069285,54.79642260766863,1.8956574199478098,2.2492231041170077,149.01026992797853,154.63196869439977,143.38857116155728,53.95147985806599,62.68754497604939,34.04944974306455,43.35864787611532,-46.04852014193401,0
2023-03-10,147.0173797607422,149.43302127956616,146.1362661024609,148.7103138108838,68572400,147.0173797607422,148.7103138108838,149.43302127956616,146.1362661024609,68572400,148.0044189453125,148.60961813161092,50.55303193712619,1.6128691381582883,2.1219523109252636,148.9043395996094,154.5920257199565,143.21665347926228,37.096747676041474,54.404144853469454,-38.24368498432475,40.908390497778505,-62.903252323958526,1
2023-03-13,148.96768188476562,151.61102231566625,146.2253338291279,146.33423617376167,84457100,148.96768188476562,146.33423617376167,151.61102231566625,146.2253338291279,84457100,148.25687255859376,148.6747206321845,54.15664088042113,1.5285107490640257,2.003263998553016,148.8776092529297,154.55882471735555,143.19639378850383,52.9835900076108,48.01060584723942,0.6328722343646197,39.16199637652877,-47.0164099923892,1
2023-03-14,151.0665283203125,151.86843881288326,148.60139830336453,149.7696098588517,73695900,151.0665283203125,149.7696098588517,151.86843881288326,148.60139830336453,73695900,148.7697006225586,149.10959475729865,57.727095602996314,1.612428413446139,1.9250968815316405,148.81523742675782,154.37016438953864,143.260310463977,70.08045002175125,53.38692923513451,46.4735144641603,37.60154252184259,-29.919549978248757,1
2023-03-15,151.4625701904297,151.71996894085018,148.4232134799654,149.6805381701613,77167900,151.4625701904297,149.6805381701613,151.71996894085018,148.4232134799654,77167900,149.53003540039063,149.53740847241338,58.385715208391595,1.6913937023765584,1.878356245700624,148.80484313964843,154.33910018157314,143.2705860977237,73.30654236393238,65.4568607977648,48.46666524929477,36.0889722171246,-26.693457636067624,1
2023-03-16,154.29397583007812,154.89788610113325,150.1260024664939,150.64081493684654,76161100,154.29397583007812,150.64081493684654,154.89788610113325,150.1260024664939,76161100,150.51410827636718,150.40223890107967,62.842894609566294,1.9598530686344589,1.894655610287391,148.83058319091796,154.46109571119553,143.2000706706404,95.14330018871232,79.51009752479865,121.45759830765435,35.44371406750908,-4.856699811287686,0
2023-03-17,153.45248413085938,155.17511745555205,152.7396713831552,154.52170325241562,98944600,153.45248413085938,154.52170325241562,155.17511745555205,152.7396713831552,98944600,150.9071472167969,150.95682894285778,60.75999732984633,2.0807224300824885,1.9318689742464108,148.89443969726562,154.70144029385878,143.08743910067247,86.44856233562446,84.96613496275639,137.12915943038175,34.90606952791325,-13.55143766437554,1
2023-03-20,155.8284912109375,156.24431116818113,152.61093964757077,153.52176753764005,73641400,155.8284912109375,153.52176753764005,156.24431116818113,152.61093964757077,73641400,151.26057891845704,151.84258571887227,64.35269709714875,2.3412477375470644,2.0137447269065416,149.13451766967773,155.6304714714308,142.63856386792466,96.98265891631121,92.85817381354933,147.781094055437,34.64753562980289,-3.017341083688787,1
2023-03-21,157.6897430419922,157.80854012474336,154.97709383642948,155.7493201936468,73938300,157.6897430419922,155.7493201936468,157.80854012474336,154.97709383642948,73938300,152.02091064453126,152.90570523216678,66.90862610656359,2.6671580505729935,2.144427391639832,149.66912689208985,157.07042712431516,142.26782665986454,99.2258373187973,94.21901952357764,165.0044732949638,34.744181161036394,-0.7741626812026947,0
2023-03-22,156.25421142578125,160.52117754091816,156.2344068779623,157.70953600837723,75701800,156.25421142578125,157.70953600837723,160.52117754091816,156.2344068779623,75701800,152.51195678710937,153.5145245400967,63.14788671461627,2.7775905822708182,2.2710600297660295,150.11067428588868,157.96327105106036,142.258077520717,70.89806430269142,89.03552017926665,159.46845324273554,35.35309913586006,-29.101935697308573,1
2023-03-23,157.3432159423828,159.93706781022715,156.10569609721924,157.24422341863578,67622100,157.3432159423828,157.24422341863578,159.93706781022715,156.10569609721924,67622100,153.33762817382814,154.21065024960325,64.76580677964493,2.9193304978054755,2.400714123373919,150.58241653442383,158.96483961759031,142.19999345125734,77.90767352213763,82.67719171454212,142.4316604409653,35.85947765970898,-22.092326477862372,1
2023-03-24,158.65003967285156,158.73913747364256,156.2740076797667,157.27391824812167,59196500,158.65003967285156,157.27391824812167,158.73913747364256,156.2740076797667,59196500,154.50089416503906,155.01781196292112,66.65755824594349,3.1013596124320486,2.540843221185545,151.25265655517578,159.9583068104913,142.54700629986024,86.99235740121267,78.59936507534724,126.32175976202878,36.32968628899726,-13.00764259878732,0
