Date,close_^fchi,high_^fchi,low_^fchi,open_^fchi,volume_^fchi,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-16,7366.16015625,7387.2900390625,7325.75,7346.2998046875,91730300,7366.16015625,7346.2998046875,7387.2900390625,7325.75,91730300,7203.072998046875,7215.598091001114,74.52251283164466,102.9279452511937,95.76750599420673,7137.705493164062,7318.568418578854,6956.8425677492705,94.1591475060232,88.2001807791139,221.70944021215882,54.957807219859035,-5.840852493976798,0
2023-02-17,7347.72021484375,7368.0,7267.77001953125,7311.14013671875,80226800,7347.72021484375,7311.14013671875,7368.0,7267.77001953125,80226800,7214.451025390625,7239.620295336138,72.16386774111783,107.15866941945205,98.0457386792558,7155.2919921875,7345.762073165327,6964.821911209673,89.06186520175196,92.37007080313164,163.78075703215126,53.89371803228329,-10.938134798248042,0
2023-02-20,7335.60986328125,7363.41015625,7318.72998046875,7361.2099609375,48622700,7335.60986328125,7361.2099609375,7363.41015625,7318.72998046875,48622700,7234.302001953125,7257.072944053431,70.5838486348982,108.28609000305096,100.09380894401485,7170.471484375,7367.5016721485035,6973.441296601496,84.22847044132746,89.14982771636755,146.89863382722888,52.905635215248665,-15.771529558672546,0
2023-02-21,7308.64990234375,7342.68017578125,7241.2099609375,7319.93017578125,68754800,7308.64990234375,7319.93017578125,7342.68017578125,7241.2099609375,68754800,7251.931982421875,7266.450572833489,67.06357495527232,105.78471505783,101.23199016677789,7183.37998046875,7381.1005930638585,6985.659367873641,74.84804662610412,82.71279408972785,98.82415969216096,50.72546102925317,-25.15195337389588,0
2023-02-22,7299.259765625,7307.81982421875,7231.6298828125,7282.490234375,83809200,7299.259765625,7282.490234375,7307.81982421875,7231.6298828125,83809200,7269.874951171875,7272.415880613764,65.83204277249814,101.87035380913585,101.35966289524949,7196.148974609375,7389.11223865692,7003.185710561829,71.84474206968929,76.97375304570696,75.66884877037232,48.55660239584303,-28.155257930310714,1
2023-02-23,7317.43017578125,7357.68017578125,7301.419921875,7309.02978515625,79939200,7317.43017578125,7309.02978515625,7357.68017578125,7301.419921875,79939200,7282.781982421875,7280.6002979169425,67.09139170851512,99.09212225855754,100.9061547679111,7207.220971679688,7401.3341760163685,7013.107767343007,77.65629489886433,74.78302786488591,100.59783604714572,47.02473764033778,-22.34370510113567,0
2023-02-24,7187.27001953125,7366.06982421875,7187.27001953125,7359.759765625,94517800,7187.27001953125,7359.759765625,7366.06982421875,7187.27001953125,94517800,7288.535986328125,7263.631156392271,52.238373190885845,85.40304379575718,97.80553257348032,7211.723974609375,7399.494982908678,7023.952966310071,36.026380230132055,61.84247239956189,31.860971934830072,44.03311228225516,-63.973619769867945,1
2023-02-27,7295.5498046875,7324.02978515625,7243.02978515625,7243.02978515625,69314300,7295.5498046875,7243.02978515625,7324.02978515625,7243.02978515625,69314300,7297.231982421875,7269.434546991403,60.14338223147119,82.3424319208898,94.71291244296222,7222.4009765625,7403.6250280294,7041.1769250955995,70.65816269162055,61.446945940205644,58.76448341466496,41.255174449749866,-29.341837308379457,0
2023-02-28,7267.93017578125,7317.97998046875,7249.47021484375,7253.5400390625,102729300,7267.93017578125,7253.5400390625,7317.97998046875,7249.47021484375,102729300,7302.643994140625,7269.161024953193,57.52787036755465,76.8028661013841,91.1309031746466,7231.676489257812,7401.951733345288,7061.401245170337,61.82440874052048,56.16965055409103,45.17040157439744,38.67566074813781,-38.17559125947952,0
2023-03-01,7234.25,7327.2900390625,7219.39990234375,7279.33984375,79246600,7234.25,7279.33984375,7327.2900390625,7219.39990234375,79246600,7295.9830078125,7262.813565870794,54.419961533143336,68.90076642433269,86.68487582458383,7239.53349609375,7394.355602854127,7084.711389333373,51.05227320997989,61.17828154737364,22.102307683085687,35.949906713092176,-48.94772679002011,1
