Date,close_cl=f,high_cl=f,low_cl=f,open_cl=f,volume_cl=f,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,76.16000366210938,77.51000213623047,75.69000244140625,76.52999877929688,402351,76.16000366210938,76.52999877929688,77.51000213623047,75.69000244140625,402351,78.21699905395508,77.6926016878147,43.516498581516835,-0.07975541042667089,0.035101037762633666,77.98499984741211,82.02396269918358,73.94603699564064,46.71448481550453,56.710446797979706,-69.31050260737769,10.757272247420525,-53.28551518449547,0
2023-02-22,73.94999694824219,76.55000305175781,73.80000305175781,76.11000061035156,332018,73.94999694824219,76.11000061035156,76.55000305175781,73.80000305175781,332018,77.89799880981445,77.01212809880151,37.12611499854513,-0.37697092347882233,-0.047313354485657544,77.67599983215332,81.95003115927035,73.4019685050363,20.310590088353283,38.63000304750307,-124.3408026869023,11.804672759228172,-79.68940991164672,1
2023-02-23,75.38999938964844,75.98999786376953,73.83000183105469,73.91999816894531,333838,75.38999938964844,73.91999816894531,75.98999786376953,73.83000183105469,333838,77.58999862670899,76.71719560622822,42.99971453566885,-0.49066412586073227,-0.1359835087606725,77.4379997253418,81.66432085728665,73.21167859339694,37.51491468662523,34.846663196827684,-98.77502005234756,12.777258948763844,-62.48508531337477,1
2023-02-24,76.31999969482422,76.62999725341797,74.08999633789062,75.5999984741211,329254,76.31999969482422,75.5999984741211,76.62999725341797,74.08999633789062,329254,77.41599884033204,76.64497816779112,46.4772908595097,-0.4999603241703028,-0.20877887184259858,77.20349960327148,81.12012744495982,73.28687176158314,48.62602579773634,35.48384352423829,-65.78372363838969,13.272855444249675,-51.37397420226366,0
2023-02-27,75.68000030517578,76.81999969482422,74.98999786376953,76.41999816894531,266091,75.68000030517578,76.41999816894531,76.81999969482422,74.98999786376953,266091,77.01199874877929,76.4695276473156,44.466735485249494,-0.5526001992375598,-0.27754313732159086,77.00349960327148,80.80054747329385,73.20645173324911,27.565943365726564,37.90229461669605,-52.665632089092504,13.61047132578376,-72.43405663427343,1
2023-02-28,77.05000305175781,77.83000183105469,75.55000305175781,75.76000213623047,300093,77.05000305175781,75.76000213623047,77.83000183105469,75.55000305175781,300093,76.70299911499023,76.57506862994146,49.502566000670484,-0.47825686004169654,-0.317685881865612,76.96099967956543,80.73592178841454,73.18607757071632,47.65396107666199,41.2819767467083,-4.481425474445435,13.284756425074358,-52.34603892333801,1
2023-03-01,77.69000244140625,77.8499984741211,76.12000274658203,76.8499984741211,342121,77.69000244140625,76.8499984741211,77.8499984741211,76.12000274658203,342121,76.56599960327148,76.77778386838959,51.70577602200545,-0.3635063511266452,-0.3268499757178186,76.90199966430664,80.59165322311866,73.21234610549463,57.038116770014014,44.08600707080086,18.25864467561096,12.969731746184872,-42.961883229985986,1
2023-03-02,78.16000366210938,78.58999633789062,77.2300033569336,77.73999786376953,260331,78.16000366210938,77.73999786376953,78.58999633789062,77.2300033569336,260331,76.52300033569335,77.02909655815682,53.316618251264806,-0.23196660885930953,-0.30787330234611676,76.98949966430663,80.711195673187,73.26780365542626,63.92963057843566,56.207236141703895,53.975262279764934,12.20711017749984,-36.07036942156434,1
2023-03-03,79.68000030517578,79.9000015258789,75.83000183105469,77.88999938964844,374201,79.68000030517578,77.88999938964844,79.9000015258789,75.83000183105469,374201,76.64200057983399,77.51107905761481,58.17530523444553,-0.005011618646179272,-0.2473009656061293,77.17949981689453,81.04061112975931,73.31838850402976,86.21697238315672,69.06157324386879,69.36622819477702,12.264257439248398,-13.783027616843288,1
2023-03-06,80.45999908447266,80.62999725341797,78.31999969482422,79.91999816894531,292351,80.45999908447266,79.91999816894531,80.62999725341797,78.31999969482422,292351,77.05400085449219,78.04724633522532,60.450078995048756,0.23508135743219327,-0.15082450099846478,77.53299980163574,81.23281114882369,73.8331884544478,97.51100566228898,82.55253620796044,119.91215787825226,11.849118444007411,-2.4889943377110235,0
2023-03-07,77.58000183105469,80.94000244140625,77.05999755859375,80.5,398241,77.58000183105469,80.5,80.94000244140625,77.05999755859375,398241,77.19600067138671,77.96229278901248,49.70136351519705,0.19076602950093502,-0.08250639489858483,77.7064998626709,81.05691059353829,74.3560891318035,52.94116389949714,78.88971398164762,53.729043115990585,12.1139558336795,-47.05883610050286,0
2023-03-08,76.66000366210938,77.7300033569336,76.11000061035156,77.31999969482422,335930,76.66000366210938,77.31999969482422,77.7300033569336,76.11000061035156,335930,77.46700134277344,77.72551294775737,46.83637713578279,0.080481904060548,-0.04990873510675826,77.68250007629395,81.0555987123996,74.3094014401883,40.05603438143129,63.502734647739146,-36.79179807814917,12.801614864791876,-59.94396561856871,0
2023-03-09,75.72000122070312,78.05999755859375,75.43000030517578,76.5,349960,75.72000122070312,76.5,78.05999755859375,75.43000030517578,349960,77.5000015258789,77.36087445192932,44.04282895008044,-0.0818261599614516,-0.05629222007769693,77.54500007629395,81.00164847467751,74.08835167791038,26.890732956208982,39.96264374571247,-54.07169724406372,13.73886888923989,-73.10926704379102,1
2023-03-10,76.68000030517578,77.11000061035156,74.7699966430664,75.6500015258789,371834,76.68000030517578,75.6500015258789,77.11000061035156,74.7699966430664,371834,77.53600158691407,77.23707915251958,47.487606684600344,-0.13147698218642745,-0.07132917249944304,77.47600021362305,80.94384892216054,74.00815150508556,40.336099434313475,35.76095559065125,-59.45433591233303,14.889087917745007,-59.663900565686525,0
2023-03-13,74.80000305175781,77.47000122070312,72.30000305175781,76.5999984741211,457423,74.80000305175781,76.5999984741211,77.47000122070312,72.30000305175781,457423,77.44800186157227,76.79397440692654,42.03073747646755,-0.3188501767129992,-0.12083337334215427,77.23000030517578,80.72413752394492,73.73586308640664,28.935187229240363,32.05400653992094,-116.01397525564583,16.837823421353043,-71.06481277075963,0
2023-03-14,71.33000183105469,74.9000015258789,70.77999877929688,74.69999694824219,432858,71.33000183105469,74.69999694824219,74.9000015258789,70.77999877929688,432858,76.87600173950196,75.80052484767711,34.21548432257519,-0.7388281310367688,-0.2444323248810772,76.7895004272461,80.87621203908797,72.70278881540422,5.41341391252632,24.89490019202672,-217.40970701036977,19.078256045567947,-94.58658608747368,0
