Date,close_eth-usd,high_eth-usd,low_eth-usd,open_eth-usd,volume_eth-usd,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-03,1664.74560546875,1670.6968994140625,1634.223388671875,1642.9046630859375,8169519805,1664.74560546875,1642.9046630859375,1670.6968994140625,1634.223388671875,8169519805,1613.52060546875,1616.6988575921546,65.75572097172918,67.13252198055102,73.92648123638656,1600.0269165039062,1681.4015923256827,1518.6522406821298,77.13206220894473,73.87142254591781,128.39661458254605,59.31908703724629,-22.86793779105527,1
2023-02-04,1667.0592041015625,1690.099609375,1648.189208984375,1664.4722900390625,5843302512,1667.0592041015625,1664.4722900390625,1690.099609375,1648.189208984375,5843302512,1619.055419921875,1625.8552842302288,65.95018164077538,66.78945920137335,72.49907682938392,1605.7559020996093,1689.0449575965124,1522.4668466027063,78.46431772252,73.44854289312597,137.5640132402402,58.7104052891749,-21.53568227748001,0
2023-02-05,1631.6458740234375,1671.770263671875,1616.391845703125,1667.16650390625,6926696531,1631.6458740234375,1667.16650390625,1671.770263671875,1616.391845703125,6926696531,1621.9094116210938,1626.9081187380848,60.30520702884869,62.934549391496375,70.58617134180642,1608.4965209960938,1691.4047824254164,1525.588259566771,58.072014761444514,71.22279823096974,68.3697858446667,57.20830859227427,-41.927985238555486,0
2023-02-06,1616.2470703125,1653.7154541015625,1611.319091796875,1631.645263671875,6919871886,1616.2470703125,1631.645263671875,1653.7154541015625,1611.319091796875,6919871886,1623.7184692382812,1624.9697462970692,57.98119661324535,57.96872346788291,68.06268176702173,1610.916571044922,1691.7365908616964,1530.0965512281475,49.20481504261488,61.91371584219312,35.76323881293349,55.66870573123343,-50.79518495738512,1
2023-02-07,1672.0035400390625,1673.7978515625,1614.863037109375,1616.0096435546875,8030277434,1672.0035400390625,1616.0096435546875,1673.7978515625,1614.863037109375,8030277434,1633.6753173828124,1633.5213451592497,63.47052988145223,57.86531642935984,66.02320869948935,1618.7414001464845,1690.9403510080392,1546.5424492849297,81.31144890607152,62.862759570043636,90.6661163162291,54.51054896635842,-18.688551093928478,0
2023-02-08,1650.716796875,1688.5272216796875,1635.2650146484375,1671.9052734375,7806089579,1650.716796875,1671.9052734375,1688.5272216796875,1635.2650146484375,7806089579,1634.1314331054687,1636.6477909257496,60.23515516804301,55.426777939601834,63.90392254751185,1623.6494140625,1690.3182343013127,1556.9805938236873,65.94281939171145,65.48636111346595,97.97367472553081,53.6278872819196,-34.05718060828854,0
2023-02-09,1546.438232421875,1655.23486328125,1537.1822509765625,1651.082275390625,10524969124,1546.438232421875,1651.082275390625,1655.23486328125,1537.1822509765625,10524969124,1632.0426025390625,1620.2460530159542,47.469626981256155,44.566079930686556,60.03635402414679,1617.9836181640626,1690.426212929765,1545.5410233983603,5.533362912712614,50.92921040349853,-103.33349152943971,50.348770199898844,-94.46663708728738,0
2023-02-10,1514.869140625,1553.32568359375,1504.83447265625,1546.5965576171875,8397387897,1514.869140625,1546.5965576171875,1553.32568359375,1504.83447265625,8397387897,1624.8759765625,1601.0866143994172,44.40173262662656,33.030778385139456,54.63523889634533,1612.3711669921875,1697.4109354163647,1527.3313985680102,5.026792970414911,25.500991758279657,-197.72608621970764,46.810494772686575,-94.97320702958508,1
2023-02-11,1539.9267578125,1541.334716796875,1510.14697265625,1514.94189453125,5064007416,1539.9267578125,1514.94189453125,1541.334716796875,1510.14697265625,5064007416,1614.6893798828125,1589.966640474523,47.31241768965177,25.61562807939572,48.831316732955415,1607.9484008789063,1698.236203986393,1517.6605977714196,17.579221643265495,9.379792508797673,-156.17810029011187,43.524953304560896,-82.4207783567345,0
2023-02-12,1515.03369140625,1545.55419921875,1501.4620361328125,1539.7760009765625,5319698775,1515.03369140625,1539.7760009765625,1545.55419921875,1501.4620361328125,5319698775,1601.8685913085938,1576.342467916655,44.803046998649585,17.528349715372997,42.570723329438934,1602.287530517578,1700.6129815312681,1503.962079503888,6.68567311947967,9.763895911053359,-150.80315894743396,40.6446422441893,-93.31432688052033,0
2023-02-13,1507.1658935546875,1524.7314453125,1470.02392578125,1514.9169921875,9363855114,1507.1658935546875,1514.9169921875,1524.7314453125,1470.02392578125,9363855114,1586.1106201171874,1563.7649089417519,44.008560858398255,10.364779091978335,36.12953448194682,1599.8156127929688,1704.8664838618802,1494.7647417240573,15.843237515523423,13.369377426089528,-161.64657528310636,38.56324749856615,-84.15676248447657,1
