Date,close_googl,high_googl,low_googl,open_googl,volume_googl,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,91.3532485961914,92.65701296526197,91.28358197173173,92.55749030076139,33629300,91.3532485961914,92.55749030076139,92.65701296526197,91.28358197173173,33629300,95.98808441162109,95.34201872917824,42.32857312427516,0.059634310890402276,1.326902275187241,97.82778968811036,106.48119450635741,89.1743848698633,0.4252717481746426,11.322611990259423,-121.94319726236857,18.74719271057782,-99.57472825182536,0
2023-02-22,91.21391296386719,91.67172328308142,90.1788605753032,91.26367049827103,30884000,91.21391296386719,91.26367049827103,91.67172328308142,90.1788605753032,30884000,94.39669342041016,94.59145404457622,42.11320662137568,-0.29935859512040963,1.001650101125711,97.5267292022705,106.64798391378244,88.40547449075856,5.919187240705017,6.49083330419765,-120.56664300152957,18.09330982144102,-94.08081275929499,0
2023-02-23,90.45752716064453,91.50253409442122,89.33290665311979,91.48262500616492,41206400,90.45752716064453,91.48262500616492,91.50253409442122,89.33290665311979,41206400,93.55272827148437,93.83983097477045,40.896743045697605,-0.63754781809115,0.673810517282339,97.31125946044922,106.87593378908203,87.74658513181642,6.134623490397447,4.159694159759035,-122.02800939137384,17.70549474617109,-93.86537650960256,0
2023-02-24,88.70590209960938,89.46228802095382,88.15852364572393,89.01443223203913,36585100,88.70590209960938,89.01443223203913,89.46228802095382,88.15852364572393,36585100,92.96752624511718,92.90638936110479,38.14858504974016,-1.034976156420413,0.3320531825417886,96.8937557220459,107.16912232122871,86.61838912286308,2.806100430008792,4.953303720370418,-134.02009662843054,17.646879873703107,-97.1938995699912,1
2023-02-27,89.4423828125,89.73100384409955,88.91489828317458,89.4423828125,27502300,89.4423828125,89.4423828125,89.73100384409955,88.91489828317458,27502300,92.49976348876953,92.27656998863118,39.974961640276604,-1.2758064369159285,0.010481258650245184,96.42101593017578,107.14440522956163,85.69762663078994,6.5816214255211145,5.174115115309117,-111.37912026585342,17.49419168549124,-93.41837857447888,1
2023-02-28,89.63147735595703,90.79591607528975,88.89500052309056,88.90495506752045,30142000,89.63147735595703,88.90495506752045,90.79591607528975,88.89500052309056,30142000,92.04692916870117,91.7956440554177,40.46108213595965,-1.434867559912547,-0.27858850506231325,96.07865257263184,107.20255151519132,84.95475363007236,10.16481170835298,6.517511187960963,-94.64283119044724,16.957809940240114,-89.83518829164701,1
2023-03-01,89.9300537109375,90.59686392466584,89.24333440817962,89.55186454339591,31111200,89.9300537109375,89.55186454339591,90.59686392466584,89.24333440817962,31111200,91.61698455810547,91.45644581096676,41.26986801650617,-1.519318274000753,-0.5267344588500011,95.65667037963867,107.0382400409438,84.27510071833353,15.545861604691778,10.764098246188624,-84.9768310238999,16.459741176792644,-84.45413839530822,1
2023-03-02,91.56224822998047,91.84091472708995,89.16371177840199,89.23338599577193,32204400,91.56224822998047,89.23338599577193,91.84091472708995,89.16371177840199,32204400,91.12533493041992,91.47568261442379,45.618799831853266,-1.4379656436447874,-0.7089806958089584,95.23717575073242,106.57290996991613,83.90144153154871,37.58242978351465,21.097701032186468,-65.42501547158199,15.519169986152203,-62.41757021648535,1
2023-03-03,93.20439147949219,93.28401264189694,92.01009682269682,92.03996045341758,35160100,93.20439147949219,92.03996045341758,93.28401264189694,92.01009682269682,35160100,90.94021987915039,91.78999331716349,49.65783227535092,-1.2268435726795417,-0.8125532711830751,94.5360279083252,104.46608489679278,84.60597091985761,55.71425327320134,36.28084822046926,-29.651971305914955,14.696792264887153,-44.28574672679866,1
2023-03-06,94.6773452758789,95.51335229721735,93.55272482794965,93.57262632205895,32639300,94.6773452758789,93.57262632205895,95.51335229721735,93.55272482794965,32639300,91.01784896850586,92.31496640056629,53.02784692836189,-0.9299528316397101,-0.8360331832744021,94.0558235168457,102.92673420246311,85.1849128312283,71.97796123685747,55.09154809785781,11.496427701071806,14.654321617826351,-28.022038763142536,0
