Date,close_matic-usd,high_matic-usd,low_matic-usd,open_matic-usd,volume_matic-usd,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-03,1.2442270517349243,1.250519037246704,1.171929955482483,1.1803280115127563,696790458,1.2442270517349243,1.1803280115127563,1.250519037246704,1.171929955482483,696790458,1.1414521217346192,1.140195822651509,71.21543536903314,0.08448936408041408,0.07458601784339335,1.063399511575699,1.248651018024587,0.8781480051268108,97.54724278411791,90.81260253755796,138.189681988768,59.78654666604954,-2.452757215882089,1
2023-02-04,1.2506279945373535,1.281473994255066,1.2190979719161987,1.2444519996643066,531020758,1.2506279945373535,1.2444519996643066,1.281473994255066,1.2190979719161987,531020758,1.1671526193618775,1.160274399358026,71.58567696918155,0.08824399252822035,0.07731761278035876,1.0767550110816955,1.275096466916356,0.8784135552470349,91.01951287655496,88.59882124943749,140.71154795132966,59.60576715874958,-8.98048712344504,0
2023-02-05,1.2045010328292847,1.2578450441360474,1.1896480321884155,1.2510950565338135,562393241,1.2045010328292847,1.2510950565338135,1.2578450441360474,1.1896480321884155,562393241,1.1753721237182617,1.1683156054437094,65.08849044505786,0.08650037977952518,0.07915416618019204,1.0860054612159729,1.2899786192764209,0.8820323031555248,77.5901350170626,88.71896355924514,101.90644218094654,58.70902694728728,-22.409864982937403,0
2023-02-06,1.1904150247573853,1.2360379695892334,1.1807600259780884,1.2043670415878296,438369543,1.1904150247573853,1.2043670415878296,1.2360379695892334,1.1807600259780884,438369543,1.178586220741272,1.1723336816825594,63.202028778207165,0.08302487194185426,0.0799283073325245,1.0957256138324738,1.3001458416195324,0.8913053860454152,73.4891424971866,80.69959679693473,82.00828433448771,57.65939158508422,-26.510857502813398,1
2023-02-07,1.268975019454956,1.269726037979126,1.1903250217437744,1.190356969833374,577383745,1.268975019454956,1.190356969833374,1.269726037979126,1.1903250217437744,577383745,1.191060519218445,1.1899048340048133,68.65796379746695,0.08562263749286592,0.08106717336459278,1.1121683150529862,1.3167818328539769,0.9075547972519956,96.36105546016081,82.48011099147,103.72847427308712,56.995664416283624,-3.6389445398391875,1
2023-02-08,1.3039699792861938,1.3403569459915161,1.2635170221328735,1.2692339420318604,947174326,1.3039699792861938,1.2692339420318604,1.3403569459915161,1.2635170221328735,947174326,1.203669512271881,1.2106439513287006,70.73919496674318,0.0894737880678842,0.08274849630525107,1.1297223150730134,1.336888378911091,0.9225562512349356,89.56415484324916,86.4714509335322,136.80834317472855,56.930122168848975,-10.43584515675085,0
2023-02-09,1.228342056274414,1.3446979522705078,1.2169890403747559,1.3042500019073486,1272709220,1.228342056274414,1.3042500019073486,1.3446979522705078,1.2169890403747559,1272709220,1.2177802205085755,1.2138617885915577,61.27020220532296,0.08543843026597164,0.08328648309739518,1.1398269176483153,1.345528723435998,0.9341251118606326,57.428055514362725,81.1177552725909,98.39412980462042,55.801285058586174,-42.571944485637275,1
2023-02-10,1.2305949926376343,1.3087999820709229,1.2205079793930054,1.2284799814224243,1009957719,1.2305949926376343,1.2284799814224243,1.3087999820709229,1.2205079793930054,1009957719,1.2297064185142517,1.216904189327208,61.43580944797606,0.08148288924483271,0.08292576432688269,1.151857817173004,1.3490659102699554,0.9546497240760529,58.25235307972121,68.41485447911104,82.83085139809134,54.753079170485,-41.74764692027879,1
2023-02-11,1.251412034034729,1.2550090551376343,1.218026041984558,1.2304240465164185,452302092,1.251412034034729,1.2304240465164185,1.2550090551376343,1.218026041984558,452302092,1.2353509187698364,1.2231783429103935,63.00970760014823,0.07911585739675897,0.08216378294085794,1.1647238194942475,1.3524286221591124,0.9770190168293826,65.86882943552256,60.5164126765355,67.37414841462443,53.720355885995296,-34.131170564477436,0
2023-02-12,1.2385159730911255,1.3001270294189453,1.229917049407959,1.2512520551681519,543445136,1.2385159730911255,1.2512520551681519,1.3001270294189453,1.229917049407959,543445136,1.2411581158638,1.2259670029432537,61.33955639751721,0.07533099445024005,0.08079722524273436,1.176890167593956,1.3500422942743824,1.0037380409135297,61.15045753116359,61.75721334880245,74.16117679945334,53.20240777720317,-38.84954246883641,0
