Date,close_btc-usd,high_btc-usd,low_btc-usd,open_btc-usd,volume_btc-usd,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-03,23449.322265625,23678.103515625,23279.955078125,23469.412109375,27083066007,23449.322265625,23469.412109375,23678.103515625,23279.955078125,27083066007,23265.940625,23136.796303855386,70.61122892003421,1237.0560339261392,1371.6108236647976,22569.6212890625,24493.314012797844,20645.928565327155,59.65354821642424,77.39415354608172,75.34994507573222,78.54470535445839,-40.34645178357576,0
2023-02-04,23331.84765625,23556.94921875,23291.794921875,23446.3203125,15639298538,23331.84765625,23446.3203125,23556.94921875,23291.794921875,15639298538,23287.339453125,23172.26018610895,68.7433143457697,1172.982152340337,1331.8850893999056,22692.17373046875,24477.192172341987,20907.15528859551,53.05129378808286,63.76571637595911,67.62479072173535,77.48138015257119,-46.94870621191714,0
2023-02-05,22955.666015625,23423.435546875,22841.759765625,23332.248046875,19564262605,22955.666015625,23332.248046875,23423.435546875,22841.759765625,19564262605,23279.6283203125,23132.87942783914,62.9963694626164,1079.4057079444501,1281.3892131088146,22781.475390625,24426.057756847644,21136.893024402358,31.206575128562573,47.970472377689894,33.58985071086648,75.28112794450716,-68.79342487143742,0
2023-02-06,22760.109375,23119.279296875,22692.025390625,22954.021484375,23825006542,22760.109375,22954.021484375,23119.279296875,22692.025390625,23825006542,23247.76640625,23065.10305459566,60.17982172141948,978.189950171949,1220.7493605214415,22861.4048828125,24329.170589069847,21393.639176555156,20.102561713916256,34.786810210187234,0.00775194668696347,72.86250074527888,-79.89743828608374,1
2023-02-07,23264.291015625,23310.974609375,22756.2578125,22757.267578125,27187964471,23264.291015625,22757.267578125,23310.974609375,22756.2578125,27187964471,23271.0865234375,23101.319047510086,64.57710811207198,927.9620092869773,1162.1918902745488,22990.18037109375,24074.804001745546,21905.556740441953,48.730787700135636,33.346641514204826,26.956232623616035,70.81367500221525,-51.269212299864364,0
2023-02-08,22939.3984375,23367.958984375,22731.09765625,23263.416015625,25371367758,22939.3984375,23263.416015625,23367.958984375,22731.09765625,25371367758,23187.5697265625,23071.87893659916,59.98058256924042,852.117211657307,1100.1769545511006,23082.81064453125,23729.359939029044,22436.26135003346,18.82860315574723,29.220650856599708,-15.699888737952374,68.97041029601094,-81.17139684425277,0
2023-02-09,21819.0390625,22996.4375,21773.974609375,22946.56640625,32572572185,21819.0390625,22946.56640625,22996.4375,21773.974609375,32572572185,23085.459765625,22844.08986858113,47.440449930146706,693.610514521155,1018.8636665451115,23039.9349609375,23874.8525123389,22205.017409536096,1.8829921890875734,23.147461014990142,-255.40766267571382,65.06552696729494,-98.11700781091243,0
2023-02-10,21651.18359375,21941.185546875,21539.392578125,21819.005859375,27078406594,21651.18359375,21819.005859375,21941.185546875,21539.392578125,27078406594,22936.6498046875,22627.197818611832,45.892365232783376,548.1297826250702,924.7168897611034,22983.612890625,24011.408290533265,21955.817490716738,4.2541378564532275,8.32191106709601,-296.8058628292982,61.00739962468769,-95.74586214354677,1
2023-02-11,21870.875,21891.41015625,21618.44921875,21651.841796875,16356226232,21870.875,21651.841796875,21891.41015625,21618.44921875,16356226232,22751.3603515625,22489.684578864224,48.27159959936797,445.4278993574808,828.8590916803789,22941.13583984375,24073.80030399227,21808.471375695233,12.614358244830886,6.250496096790562,-219.01967960696302,57.2391385208381,-87.38564175516912,0
2023-02-12,21788.203125,22060.994140625,21682.828125,21870.90234375,17821046406,21788.203125,21870.90234375,22060.994140625,21682.828125,17821046406,22582.9935546875,22362.142496343455,47.42645936004644,353.2924520753768,733.7457637593785,22883.8244140625,24123.03068017742,21644.618147947578,9.468331248518146,8.778942449934085,-165.40185608684203,54.01851877939601,-90.53166875148186,1
2023-02-13,21808.1015625,21898.4140625,21460.087890625,21787.0,23918742607,21808.1015625,21787.0,21898.4140625,21460.087890625,23918742607,22418.871484375,22261.407781099188,47.66397036292819,278.6677752637552,642.7301660602539,22842.4060546875,24164.51392236366,21520.29818701134,12.855480369713293,11.646056621020776,-150.46163624116096,50.573744490209556,-87.14451963028671,1
2023-02-14,22220.8046875,22293.140625,21632.39453125,21801.822265625,26792596581,22220.8046875,21801.822265625,22293.140625,21632.39453125,26792596581,22307.7671875,22254.025400444785,52.46097605109951,249.94763359922217,564.1736595680476,22797.5533203125,24139.948525999404,21455.1581146256,28.100562246446188,16.80812462155921,-91.56800738542515,48.03207134983654,-71.89943775355381,1
2023-02-15,24307.841796875,24307.841796875,22082.76953125,22220.5859375,32483312909,24307.841796875,22220.5859375,24307.841796875,22082.76953125,32483312909,22442.984765625,22627.446563432095,68.28972439980878,391.08498280252024,529.5559242149421,22861.30654296875,24354.924694606587,21367.68839133091,100.0,46.98534753871983,85.17655020625506,47.792669695421075,-0.0,0
2023-02-16,23623.474609375,25134.1171875,23602.5234375,24307.349609375,39316664596,23623.474609375,24307.349609375,25134.1171875,23602.5234375,39316664596,22529.3212890625,22808.54257178535,61.104901714595535,442.6124752518008,512.1672344223139,22888.54384765625,24416.501068682617,21360.58662662988,58.88321904754817,62.32792709799812,135.23885344289155,48.098437508653106,-41.11678095245183,1
2023-02-17,24565.6015625,24924.041015625,23460.755859375,23621.283203125,41358451255,24565.6015625,23621.283203125,24924.041015625,23460.755859375,41358451255,22659.45234375,23128.007842824376,66.35310470619942,553.094427417167,520.3526730212845,22965.26943359375,24659.243061109755,21271.295806077742,84.52609984673886,81.13643963142901,139.50919017795107,48.120601585465124,-15.473900153261145,1
2023-02-18,24641.27734375,24798.8359375,24468.373046875,24565.296875,19625427158,24641.27734375,24565.296875,24798.8359375,24468.373046875,19625427158,22829.640234375,23403.147752083576,66.74130258244234,639.3881055106358,544.1597595191548,23008.60498046875,24823.22421248936,21193.98574844814,86.58584883443385,76.66505590957361,157.5854640249997,48.14118251393342,-13.41415116556616,0
2023-02-19,24327.642578125,25093.0546875,24327.642578125,24640.02734375,25555105670,24327.642578125,24640.02734375,25093.0546875,24327.642578125,25555105670,23080.5005859375,23571.23772045474,63.47280751323117,674.6913408843138,570.2660757921867,23082.98017578125,24983.772677841353,21182.187673721146,78.04931468399126,83.05375445505466,132.88630539947303,48.36231951273047,-21.950685316008745,1
2023-02-20,24829.1484375,25020.458984375,23927.91015625,24336.623046875,28987376573,24829.1484375,24336.623046875,25020.458984375,23927.91015625,28987376573,23398.2970703125,23799.948759917515,66.31362861779408,734.6679460886589,603.1464498514812,23167.4734375,25215.311908730968,21119.634966269034,91.69933810110345,85.44483387317617,115.9829726437378,47.765495187674446,-8.300661898896552,0
