Date,close_sol-usd,high_sol-usd,low_sol-usd,open_sol-usd,volume_sol-usd,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-03,24.680896759033203,25.003572463989258,24.118974685668945,24.26081085205078,643813200,24.680896759033203,24.26081085205078,25.003572463989258,24.118974685668945,643813200,24.52823715209961,24.284540742582372,61.4440740085284,2.1098258097777673,2.5045393433786014,23.922854232788087,26.38160298288608,21.464105482690094,53.66536635736515,61.43109547328612,56.67686023397202,57.204054998678615,-46.33463364263485,0
2023-02-04,24.317745208740234,24.892578125,24.317745208740234,24.679983139038086,321758043,24.317745208740234,24.679983139038086,24.892578125,24.317745208740234,321758043,24.502867126464842,24.290577918247436,59.708580714591626,1.9716720195545463,2.3979658786137907,23.995076179504395,26.410745645915462,21.579406713093327,45.13226583676338,52.17454097869415,44.770831253794526,55.84099673276946,-54.86773416323662,0
2023-02-05,23.493438720703125,24.42566680908203,23.1168270111084,24.319520950317383,578466008,23.493438720703125,24.319520950317383,24.42566680908203,23.1168270111084,578466008,24.417141342163085,24.145643518693923,55.85229288253431,1.7752060307948803,2.2734139090500087,23.99086990356445,26.409723554351782,21.57201625277712,25.763244510734722,41.52029223495441,-34.73905931105304,53.47989735963774,-74.23675548926528,0
2023-02-06,22.706388473510742,23.68735694885254,22.603904724121094,23.493684768676758,449884793,22.706388473510742,23.493684768676758,23.68735694885254,22.603904724121094,449884793,24.246994400024413,23.88396078320607,52.37414483552456,1.5382647830641858,2.1263840838528445,23.981986141204835,26.41827672784246,21.54569555456721,7.26964626328395,26.055052203594013,-96.98864517106523,50.86130828099005,-92.73035373671605,1
2023-02-07,23.861356735229492,23.899799346923828,22.607053756713867,22.69782257080078,625438600,23.861356735229492,22.69782257080078,23.899799346923828,22.607053756713867,625438600,24.23494987487793,23.879850956301237,56.641274489730925,1.4272311906708133,1.9865535052164385,24.132522296905517,26.103994806395672,22.16104978741536,34.40834432859581,22.48041170087149,-74.42999828663976,48.55579532942478,-65.5916556714042,0
2023-02-08,23.192670822143555,24.148073196411133,22.881855010986328,23.860729217529297,534148944,23.192670822143555,23.860729217529297,24.148073196411133,22.881855010986328,534148944,23.940978240966796,23.754909113727113,53.6444934770542,1.2706318509635004,1.843369174365851,24.22081756591797,25.823303061886694,22.618332069949243,14.541381860664503,18.73979081751475,-117.67465313790814,46.566181521690815,-85.4586181393355,0
2023-02-09,20.45212745666504,23.27908706665039,20.203577041625977,23.198091506958008,797436250,20.45212745666504,23.198091506958008,23.27908706665039,20.203577041625977,797436250,23.591558837890624,23.154403357897642,43.489008166738415,0.9148410815710086,1.6576635558068824,23.96601037979126,26.156086032643554,21.775934726938967,3.853955915159262,17.601227368139853,-293.39707637175644,43.76159428737902,-96.14604408484074,0
2023-02-10,20.130109786987305,21.117727279663086,19.84334373474121,20.453590393066406,654189930,20.130109786987305,20.453590393066406,21.117727279663086,19.84334373474121,654189930,23.20931510925293,22.604531799550305,42.47158479993854,0.5999740711431052,1.4461256588741271,23.741123962402344,26.47047539423303,21.01177253057166,4.2112881951554,7.535541990326384,-283.80789821179104,41.37261097700754,-95.7887118048446,1
2023-02-11,20.830095291137695,20.860679626464844,20.119468688964844,20.12839126586914,267159267,20.830095291137695,20.12839126586914,20.860679626464844,20.119468688964844,267159267,22.792988777160645,22.28190697983892,45.458633128411066,0.4022853815817484,1.2373576034156515,23.570989227294923,26.567661784294756,20.57431667029509,14.490889519368963,7.518711209894537,-205.30549711404961,39.1542693316626,-85.50911048063104,1
2023-02-12,21.489978790283203,22.260618209838867,20.646625518798828,20.828874588012695,532943787,21.489978790283203,20.828874588012695,22.260618209838867,20.646625518798828,532943787,22.51548080444336,22.137920036283333,48.189738933480406,0.29545691098452664,1.0489774649294266,23.42759780883789,26.532449884936504,20.32274573273928,25.70468895430025,14.8022888896082,-124.33998126720644,36.627784314613386,-74.29531104569975,0
