Date,close_xrp-usd,high_xrp-usd,low_xrp-usd,open_xrp-usd,volume_xrp-usd,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-03,0.4122050106525421,0.41352999210357666,0.40740200877189636,0.40974101424217224,848078651,0.4122050106525421,0.40974101424217224,0.41352999210357666,0.40740200877189636,848078651,0.40993090271949767,0.40827878450370403,58.71191880281521,0.011704160233652283,0.013810667199052745,0.40411040037870405,0.42818171429368534,0.38003908646372275,54.35634477311993,57.90047533801721,53.70426469517054,27.048896114634413,-45.64365522688007,0
2023-02-04,0.4113050103187561,0.4193490147590637,0.40831899642944336,0.4121200144290924,583121354,0.4113050103187561,0.4121200144290924,0.4193490147590637,0.40831899642944336,583121354,0.4092921048402786,0.408829007379168,58.19517991932591,0.011173960919780124,0.013283325943198221,0.4054316014051437,0.42798917887047294,0.3828740239398145,52.18421427410318,52.69416956696028,63.91329594978329,26.34113454432469,-47.81578572589682,0
2023-02-05,0.3989369869232178,0.41191598773002625,0.3963080048561096,0.41126900911331177,758068911,0.3989369869232178,0.41126900911331177,0.41191598773002625,0.3963080048561096,758068911,0.40817550420761106,0.4070304582053589,51.488638823585674,0.009644601062033575,0.012555580966965293,0.4060496509075165,0.4271362722436833,0.3849630295713497,22.334268866872762,42.95827597136529,-31.952800039820733,24.514125438989648,-77.66573113312724,0
2023-02-06,0.3928239941596985,0.4034000039100647,0.3922269940376282,0.39897000789642334,950972502,0.3928239941596985,0.39897000789642334,0.4034000039100647,0.3922269940376282,950972502,0.4061788022518158,0.4044474647425115,48.51282080202315,0.007848828519278706,0.011614230477427977,0.4063053011894226,0.42660570667230513,0.38600489570654006,7.879654232452566,27.466045791142836,-98.5036155853049,23.058894256589515,-92.12034576754743,1
2023-02-07,0.403903990983963,0.4046359956264496,0.3909359872341156,0.39282700419425964,1015414418,0.403903990983963,0.39282700419425964,0.4046359956264496,0.3909359872341156,1015414418,0.4057558000087738,0.40434865133186626,53.73247427327644,0.007236313270688077,0.010738647036079997,0.4075279012322426,0.42374704592159684,0.3913087565428883,42.083887849676024,24.099270316333786,-84.64035756912502,21.819281466137983,-57.916112150323976,0
2023-02-08,0.39805200695991516,0.40526100993156433,0.39533400535583496,0.40386998653411865,853007396,0.39805200695991516,0.40386998653411865,0.40526100993156433,0.39533400535583496,853007396,0.4041846007108688,0.4032038069006024,50.8030610826925,0.006207132361518597,0.009832344101167716,0.4077412515878677,0.42333174958230835,0.3921507535934271,27.26857826472419,25.744040115617594,-105.42394486215238,20.604550859175443,-72.73142173527582,0
2023-02-09,0.38246598839759827,0.4070909917354584,0.3772220015525818,0.39805999398231506,1488178634,0.38246598839759827,0.39805999398231506,0.4070909917354584,0.3772220015525818,1488178634,0.40297209918498994,0.3994332944455108,43.933125907257896,0.004086728375157944,0.008683220955965762,0.4061973512172699,0.42503929250796707,0.38735540992657275,12.152359799190712,27.16827530453031,-197.1963926130218,20.892949685709574,-87.84764020080928,1
2023-02-10,0.38264501094818115,0.3876270055770874,0.3786199986934662,0.38244199752807617,877457864,0.38264501094818115,0.38244199752807617,0.3876270055770874,0.3786199986934662,877457864,0.40059770047664645,0.3963808792641781,44.02675277520817,0.0023931517987092477,0.007425207124514459,0.4051529511809349,0.4266047219994304,0.38370118036243944,12.567224769517543,17.32938761114415,-205.53486093793558,21.160748596062696,-87.43277523048246,1
2023-02-11,0.38400799036026,0.3841109871864319,0.3809010088443756,0.38264599442481995,436697705,0.38400799036026,0.38264599442481995,0.3841109871864319,0.3809010088443756,436697705,0.3976092994213104,0.3941312630998293,44.78277569561566,0.001147730880817488,0.006169711875775065,0.404305000603199,0.4276120774231322,0.38099792378326586,15.72577888187433,13.48178781686086,-170.1640815184572,21.409419012819168,-84.27422111812567,0
2023-02-12,0.3752819895744324,0.3848640024662018,0.37445199489593506,0.38398200273513794,492457255,0.3752819895744324,0.38398200273513794,0.3848640024662018,0.37445199489593506,492457255,0.39416279792785647,0.390704122458848,40.96767172800462,-0.0005371970335605325,0.004828330093907945,0.4018219500780106,0.4263543633228762,0.377289536833145,1.8074005426744466,10.033468064688773,-178.98253947053297,22.09670965434891,-98.19259945732556,0
