Date,close_^ndx,high_^ndx,low_^ndx,open_^ndx,volume_^ndx,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,12060.2998046875,12257.0595703125,12058.23046875,12205.2099609375,5002540000,12060.2998046875,12205.2099609375,12257.0595703125,12058.23046875,5002540000,12455.17880859375,12372.885451673998,48.819126264094734,231.29031290514286,312.49784751622155,12332.48134765625,12904.015916944214,11760.946778368287,5.695988042229245,35.51387935988849,-52.41862752558331,44.9844548598458,-94.30401195777075,1
2023-02-22,12066.26953125,12156.2099609375,12006.0400390625,12085.669921875,4671270000,12066.26953125,12085.669921875,12156.2099609375,12006.0400390625,4671270000,12388.97880859375,12317.137102505998,48.96490331174782,190.82449264313072,288.16317654160343,12343.462841796874,12884.88200098488,11802.043682608868,6.883839189944851,19.46860940593452,-72.59651823917568,42.58955885878452,-93.11616081005515,1
2023-02-23,12180.1396484375,12227.400390625,12003.3095703125,12224.4404296875,4714580000,12180.1396484375,12224.4404296875,12227.400390625,12003.3095703125,4714580000,12357.45478515625,12292.228474493542,51.78585676579536,166.0295203884998,263.73644531098273,12361.735302734374,12852.870737168934,11870.599868299814,21.423551543403416,11.334459591859178,-66.718248283815,40.616371849224684,-78.57644845659658,0
2023-02-24,11969.650390625,12018.3203125,11900.83984375,11979.7998046875,4432650000,11969.650390625,11979.7998046875,12018.3203125,11900.83984375,4432650000,12316.30283203125,12233.57791379017,46.652443521373215,127.92001990323661,236.57316022943354,12357.643798828125,12860.27841422881,11855.00918342744,7.902445808211312,12.069945513853199,-119.94150978806013,38.30886613999104,-92.09755419178869,1
2023-02-27,12057.7900390625,12159.6396484375,12034.6103515625,12106.7900390625,4494000000,12057.7900390625,12106.7900390625,12159.6396484375,12034.6103515625,4494000000,12291.58984375,12201.616482021504,48.93511533815042,103.63545421431627,209.9856190264101,12352.2033203125,12865.23942075518,11839.167219869818,18.024713788400803,15.783570380005182,-80.53678147357401,36.68457634138212,-81.9752862115992,0
2023-02-28,12042.1201171875,12146.51953125,12021.3203125,12041.75,5340950000,12042.1201171875,12041.75,12146.51953125,12021.3203125,5340950000,12245.5708984375,12172.617142960775,48.53747873158784,82.17803200972776,184.42410162307365,12358.68984375,12852.228946345358,11865.150741154643,17.471984270854342,14.46638128915549,-88.44041310086409,35.11065847925054,-82.52801572914566,0
2023-03-01,11938.5703125,12054.48046875,11906.580078125,12026.7197265625,4927530000,11938.5703125,12026.7197265625,12054.48046875,11906.580078125,4927530000,12180.33896484375,12130.06317378609,45.88412395306593,56.169776267419365,158.7732365519428,12350.521875,12865.719809270573,11835.323940729428,4.78509432466709,13.427264127974084,-117.66292825135372,33.08532774066292,-95.21490567533291,1
2023-03-02,12044.8701171875,12074.58984375,11830.08984375,11830.08984375,5313760000,12044.8701171875,11830.08984375,12074.58984375,11830.08984375,5313760000,12116.03701171875,12114.5735271318,48.96821195023238,43.632582811707834,135.74510580389583,12334.610400390626,12866.652852559679,11802.567948221573,24.996249454466103,15.751109349995849,-101.11800833843238,30.845498725436283,-75.00375054553389,1
2023-03-03,12290.8095703125,12300.4599609375,12095.240234375,12110.7099609375,5102210000,12290.8095703125,12110.7099609375,12300.4599609375,12095.240234375,5102210000,12100.869921875,12146.616444073747,55.313595776797584,52.93185960923438,119.18245656496354,12308.993896484375,12795.742415854054,11822.245377114696,53.61882182862962,27.80005520258761,-24.330808647132557,29.680093593742622,-46.38117817137038,1
2023-03-06,12302.48046875,12466.8798828125,12297.5703125,12344.650390625,4982880000,12302.48046875,12344.650390625,12466.8798828125,12297.5703125,4982880000,12095.3,12174.955357651246,55.59576024305688,60.54541754978527,107.4550487619279,12295.44990234375,12766.85304449864,11824.046760188858,54.97708757637474,44.53071961982349,20.97372845933232,29.16986866684083,-45.02291242362526,0
