Date,close_msft,high_msft,low_msft,open_msft,volume_msft,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,248.7143096923828,251.49016824327242,247.6512158869296,250.49597073877874,28397400,248.7143096923828,250.49597073877874,251.49016824327242,247.6512158869296,28397400,260.1318298339844,256.5791390181878,48.545538794744935,5.487914164380015,6.940926189813154,252.88991622924806,272.2971634303293,233.4826690281668,25.033169541387245,43.75379236640223,-26.047322011187017,19.248357811147095,-74.96683045861275,0
2023-02-22,247.5724639892578,250.35816054888014,246.42078280013976,250.11207443958386,22491100,247.5724639892578,250.11207443958386,250.35816054888014,246.42078280013976,22491100,258.61775665283204,254.9415617402005,47.485313739005115,4.406671704334656,6.434075292717455,253.3857666015625,271.6859054216731,235.08562778145188,4.547477351198124,25.394451803980456,-41.31578756631311,18.028537584415425,-95.45252264880187,1
2023-02-23,250.7814483642578,252.81903363554358,246.55860211725619,251.55907389776667,29219100,250.7814483642578,251.55907389776667,252.81903363554358,246.55860211725619,29219100,257.50608215332034,254.18517749002908,50.741257694915625,3.7653132974121206,5.900322893656388,254.11227111816407,270.70813653328463,237.5164057030435,17.218330972447433,15.599659288344268,-36.06794173587954,17.197587645918425,-82.78166902755257,0
2023-02-24,245.31829833984375,247.07043006861863,244.21583748216142,246.04671856075686,24990900,245.31829833984375,246.04671856075686,247.07043006861863,244.21583748216142,24990900,256.15345764160156,252.5730176445408,45.562089808633345,2.7841081242584664,5.277079939776804,254.20281066894532,270.58464657509046,237.82097476280018,4.004483778156708,8.590097367267422,-80.2978190163602,16.10381148362676,-95.99551622184329,1
2023-02-27,246.2436065673828,248.86196635972186,245.48565714962064,248.50760176361655,21190000,246.2436065673828,248.50760176361655,248.86196635972186,245.48565714962064,21190000,254.94442596435547,251.42221563051208,46.55707577453203,2.0574436663006566,4.6331526850815745,254.33176040649414,270.41768886871057,238.2458319442777,7.365493614610059,9.529436121738067,-71.02556984941106,15.32458565784845,-92.63450638538994,0
2023-02-28,245.51516723632812,247.55276726085282,244.83596722815324,245.17065572399935,22491000,245.51516723632812,245.17065572399935,247.55276726085282,244.83596722815324,22491000,252.85543670654297,250.34820683156954,45.84665635514095,1.4065638888843353,3.987834925842127,254.69185256958008,269.60717458786246,239.77653055129772,4.719573386011478,5.363183592926084,-86.85343452648739,14.503311212612818,-95.28042661398852,0
2023-03-01,242.41448974609375,247.00152304863036,241.94199363895714,246.8341863098164,27565300,242.41448974609375,246.8341863098164,247.00152304863036,241.94199363895714,27565300,250.37291717529297,248.90571281602848,42.849413687093815,0.6332386351190848,3.3169156676975184,254.64653091430665,269.7046096014698,239.5884522271435,1.6846608150162636,4.589909271879269,-110.9998632760675,13.629471044260573,-98.31533918498374,1
2023-03-02,247.17872619628906,247.46417946735576,241.76483192375827,242.69011807533903,24808200,247.17872619628906,242.69011807533903,247.46417946735576,241.76483192375827,24808200,248.58042602539064,248.59171524880313,48.428295009922266,0.40019368149958723,2.7335712704579325,254.59689483642578,269.74628953926316,239.44750013358842,19.18180043795717,8.52867821299497,-92.82444143499194,12.744941638385411,-80.81819956204284,1
2023-03-03,251.29327392578125,251.61810937843563,247.4543367942358,248.24181531401277,30760100,251.29327392578125,248.24181531401277,251.61810937843563,247.4543367942358,30760100,247.90516967773436,249.08290773552642,52.72079296702966,0.5412740218255863,2.295111820731463,254.1712188720703,269.18899280036834,239.15344494377229,33.75992654581605,18.20879593292983,-42.60096749704015,12.383639931907762,-66.24007345418394,1
2023-03-06,252.84854125976562,256.0476605602481,251.97247534442963,252.41542732051573,24109800,252.84854125976562,252.41542732051573,256.0476605602481,251.97247534442963,24109800,247.78803253173828,249.7675683762972,54.27020005417047,0.7697055969079258,1.9900305759667558,254.13014602661133,269.1576686641422,239.1026233890805,39.27034587179528,30.737357618522836,-7.460877037842258,12.654765018849483,-60.72965412820472,0
