Date,close_amzn,high_amzn,low_amzn,open_amzn,volume_amzn,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r,target
2023-02-21,94.58000183105469,95.61000061035156,94.2699966430664,95.33999633789062,56580400,94.58000183105469,95.33999633789062,95.61000061035156,94.2699966430664,56580400,98.83400039672851,98.6094714772048,43.692883162087256,0.8880986579678591,2.0546020569065124,100.5305004119873,108.23215189071794,92.82884893325667,1.5712373808559847,6.940932809011113,-136.3834483835789,22.873763445660472,-98.42876261914401,1
2023-02-22,95.79000091552734,97.01000213623047,94.80000305175781,95.0999984741211,59534100,95.79000091552734,95.0999984741211,97.01000213623047,94.80000305175781,59534100,98.20200042724609,98.09684046599072,46.24335515865687,0.5814064263220473,1.7599629307896196,100.50400047302246,108.26682407981106,92.74117686623386,7.704024398590747,5.907368006867103,-107.38669107998113,21.421670136728114,-92.29597560140925,1
2023-02-23,95.81999969482422,96.43000030517578,93.66999816894531,96.12000274658203,48467000,95.81999969482422,96.12000274658203,96.43000030517578,93.66999816894531,48467000,97.77900009155273,97.68286941668771,46.30828849855804,0.3368878406024578,1.4753479127521874,100.43600044250488,108.33670367502641,92.53529720998334,14.228996949252158,7.834752909566297,-121.09512001180647,20.047590363164716,-85.77100305074784,0
2023-02-24,93.5,94.13999938964844,92.31999969482422,93.52999877929688,57053800,93.5,93.52999877929688,94.13999938964844,92.31999969482422,57053800,97.30500030517578,96.92234770456267,42.075435069013125,-0.043596928315992045,1.1715589445385515,100.15000038146972,108.60102499597234,91.69897576696711,10.146178708932954,10.693066685591953,-149.08102099922456,19.16298871014696,-89.85382129106705,1
2023-02-27,93.76000213623047,94.77999877929688,93.13999938964844,94.27999877929688,47470300,93.76000213623047,94.27999877929688,94.77999877929688,93.13999938964844,47470300,96.92000045776368,96.34737578304771,42.70747732903177,-0.32045978850075585,0.8731551979306901,99.72600059509277,108.557394107963,90.89460708222254,13.913069117901806,12.76274825869564,-120.32588734673662,18.12778218824641,-86.0869308820982,1
2023-02-28,94.2300033569336,94.69000244140625,92.91999816894531,93.13999938964844,43959300,94.2300033569336,93.13999938964844,94.69000244140625,92.91999816894531,43959300,96.3890007019043,95.96239897829969,43.899156855931274,-0.4962301965267528,0.5992781190392015,99.41000061035156,108.54780606551384,90.27219515518928,18.454144383548517,14.171130736794424,-106.08234201654732,17.23588301845358,-81.54585561645149,0
2023-03-01,92.16999816894531,94.68000030517578,91.58999633789062,93.87000274658203,52299500,92.16999816894531,93.87000274658203,94.68000030517578,91.58999633789062,52299500,95.63600082397461,95.27287155841707,39.97452556142172,-0.7926179078792046,0.32089891365552026,98.86200065612793,108.3495780498837,89.37442326237216,5.691871364994939,12.686361622148423,-114.81806851764807,16.82688183111951,-94.30812863500506,0
2023-03-02,92.12999725341797,92.2300033569336,90.38999938964844,91.41000366210938,55509400,92.12999725341797,91.41000366210938,92.2300033569336,90.38999938964844,55509400,94.73300018310547,94.70143986659903,39.899932034818235,-1.0189887757571938,0.05292137577297745,98.21100044250488,107.67012845015857,88.7518724348512,16.140983866447364,13.428999871663606,-123.43892791951058,16.80730342166356,-83.85901613355264,1
2023-03-03,94.9000015258789,94.94000244140625,92.66000366210938,92.73999786376953,55759600,94.9000015258789,92.73999786376953,94.94000244140625,92.66000366210938,55759600,94.40800018310547,94.7375419864681,47.24174676617529,-0.9637634593313038,-0.1504155912478788,97.31050033569336,104.03448014908508,90.58652052230164,41.83675924798791,21.223204826476735,-68.8466967474983,15.775715165520433,-58.16324075201209,0
2023-03-06,93.75,96.55000305175781,93.73999786376953,95.19000244140625,52112400,93.75,95.19000244140625,96.55000305175781,93.73999786376953,52112400,94.06300048828125,94.55798889801935,44.795151513020166,-1.0012507153716683,-0.3205826160726367,96.82850036621093,103.1075113892353,90.54948934318656,31.168840360209376,29.715527824881548,-50.9201193048649,15.00824950683525,-68.83115963979063,0
