close_aapl,high_aapl,low_aapl,open_aapl,volume_aapl,close,open,high,low,volume,sma_10,ema_10,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,stoch_k,stoch_d,cci,adx,williams_r
146.99755859375,149.7894107206676,146.92826533516197,148.70038717333577,58867200,146.99755859375,148.70038717333577,149.7894107206676,146.92826533516197,58867200,150.9648193359375,149.8902134024008,54.936999212443446,4.511852922060768,5.376328754409867,147.84356842041015,156.7920156152782,138.8951212255421,45.99434406912627,65.32648591636172,5.967164500235411,67.41037571767967,-54.00565593087373
147.42327880859375,148.4528887502369,145.69075089528818,147.3836697109664,51011300,147.42327880859375,147.3836697109664,148.4528887502369,145.69075089528818,51011300,150.41989135742188,149.4416798398904,55.714027953919235,4.01763753557475,5.1045905106428435,148.17013931274414,156.53782682855882,139.80245179692946,17.534977913826534,44.96831189492729,-12.780182482034785,64.90168284204984,-82.46502208617346
147.9083709716797,148.83898834448985,145.7699480861059,148.591484366889,48394200,147.9083709716797,148.591484366889,148.83898834448985,145.7699480861059,48394200,150.1933349609375,149.16289640930663,56.6316721483431,3.623343516031923,4.80834111172066,148.55407943725587,156.09276140381888,141.01539747069285,22.444613308764033,28.657978430572282,-16.642642653389647,62.6557661910983,-77.55538669123597
145.2452392578125,145.720442659753,144.26511807901926,145.64123957502227,55469600,145.2452392578125,145.64123957502227,145.720442659753,144.26511807901926,55469600,149.80426025390625,148.45059510903496,50.45105980560897,3.0606884806282437,4.458810585502176,148.7010696411133,155.8513056491339,141.55083363309268,9.330881886686308,16.43682436975896,-76.55304473383242,59.92555547217605,-90.66911811331369
146.4431610107422,147.6806809778149,145.97785229460726,146.23526611588312,44998500,146.4431610107422,146.23526611588312,147.6806809778149,145.97785229460726,44998500,149.49834747314452,148.08560709116355,52.93907521133656,2.680542954769294,4.1031570593556,148.81058883666992,155.74889310524117,141.87228456809868,20.735253741849633,17.503582979099992,-45.635992362060776,57.85809064763983,-79.26474625815037
145.9382781982422,147.5916032868755,145.36406704246494,145.58187179487862,50547000,145.9382781982422,145.58187179487862,147.5916032868755,145.36406704246494,50547000,148.86077880859375,147.69518365608693,51.759420466245835,2.311885091007781,3.7449026656860362,149.03968048095703,155.24188305280887,142.8374779091052,15.928703294836703,15.33161297445755,-65.66545641272855,55.67268529495323,-84.07129670516329
143.8592071533203,145.76003585720164,143.5621993638043,145.36403554214274,55479000,143.8592071533203,145.36403554214274,145.76003585720164,143.5621993638043,55479000,148.07965545654298,146.9977333828566,47.10457677851972,1.8308524922719869,3.362092631003226,149.1010612487793,155.06822028895166,143.13390220860694,2.6502045640842566,13.104720533590198,-125.0708144668844,52.89467907760344,-97.34979543591574
144.45323181152344,145.24524759786468,142.46329007120497,142.93850860687647,52238100,144.45323181152344,142.93850860687647,145.24524759786468,142.46329007120497,52238100,147.14705963134764,146.5350967335233,48.52886942099272,1.4804972666545098,2.985773558133483,149.13579635620118,154.98507800839562,143.28651470400675,16.170650811275998,11.583186223398988,-140.19803048951093,49.887023963964324,-83.829349188724
149.52212524414062,149.60132834219667,145.85906882111533,146.56197176838737,70732300,149.52212524414062,146.56197176838737,149.60132834219667,145.85906882111533,70732300,146.88173828125,147.0781928263628,58.73867883740281,1.593486839309378,2.707316214368662,149.15757369995117,155.00920290520475,143.3059444946976,57.36145757595274,25.394104317104336,-18.906471176060613,48.23935836549894,-42.63854242404726
152.29415893554688,154.73949959731118,151.92785785960842,152.25454983701871,87558000,152.29415893554688,152.25454983701871,154.73949959731118,151.92785785960842,87558000,147.00846099853516,148.02655030075988,63.05469632024858,1.8849829318512832,2.5428495578651864,149.13606872558594,154.93805975501746,143.33407769615442,79.88753859260048,51.139882326609744,107.82812783877587,47.680863588238786,-20.112461407399525
150.08641052246094,152.49214181283335,149.62110185942342,152.16543476603405,56182000,150.08641052246094,152.16543476603405,152.49214181283335,149.62110185942342,56182000,147.31734619140624,148.40107034106916,57.863356612633545,1.9157650918376703,2.4174326646596835,149.14108276367188,154.9461760873637,143.33598943998004,61.946948703045294,66.39864829053283,44.39810895151536,46.335311841338196,-38.053051296954706
151.34371948242188,151.93773504020743,150.31410963622918,151.28432094793195,47204800,151.34371948242188,151.28432094793195,151.93773504020743,150.31410963622918,47204800,147.70939025878906,148.93609745767873,59.888731938460126,2.0183482385835987,2.3376157794444667,149.06464080810548,154.7092200072446,143.42006160896636,72.16408408016596,71.33285712527058,58.432468866298265,45.08587093350194,-27.835915919834044
149.0865020751953,152.99706215582498,148.73009571987657,152.02685072996366,53833600,149.0865020751953,152.02685072996366,152.99706215582498,148.73009571987657,53833600,147.82720336914062,148.96344375177264,54.79643256941959,1.8956556032515266,2.249223744205879,149.01026916503906,154.6319626930968,143.38857563698133,53.95160444195437,62.687545741721884,34.049568942099505,43.358630394547845,-46.04839555804563
147.0173797607422,149.43302127956616,146.1362661024609,148.7103138108838,68572400,147.0173797607422,148.7103138108838,149.43302127956616,146.1362661024609,68572400,148.0044174194336,148.60961393522163,50.55303700697447,1.6128677914737182,2.121952553659447,148.90433883666992,154.59201972259044,143.2166579507494,37.09687163495078,54.404186719023706,-38.24377203964654,40.9083760977771,-62.90312836504922
148.9676971435547,151.6110378452132,146.2253488070177,146.33425116280637,84457100,148.9676971435547,146.33425116280637,151.6110378452132,146.2253488070177,84457100,148.25687103271486,148.67471997310037,54.15667496421522,1.52851100319441,2.0032642435664396,148.8776092529297,154.55881951099684,143.19639899486253,52.983838851215815,48.01077164270699,0.6332956953307635,39.16198861665824,-47.016161148784185
